date,country,net_purchases_t
2026-02-01,Serbia,0.07
2026-03-01,Serbia,0.32
2026-04-01,Serbia,0.68
2026-05-01,Serbia,0.75
2026-06-01,Serbia,0.46
2026-07-01,Serbia,0.12
2026-08-01,Serbia,0.1
2021-01-01,Philippines,-0.62
2021-02-01,Philippines,-0.42
2021-03-01,Philippines,-0.13
2021-04-01,Philippines,-0.06
2021-05-01,Philippines,-0.29
2021-06-01,Philippines,-0.57
2021-07-01,Philippines,-0.59
2021-08-01,Philippines,-0.33
2021-09-01,Philippines,-0.08
2021-10-01,Philippines,-0.1
2021-11-01,Philippines,-0.38
2021-12-01,Philippines,-0.61
2022-01-01,Philippines,-0.53
2022-02-01,Philippines,-0.24
2022-03-01,Philippines,-0.05
2022-04-01,Philippines,-0.17
2022-05-01,Philippines,-0.47
2022-06-01,Philippines,-0.62
2022-07-01,Philippines,-0.46
2022-08-01,Philippines,-0.16
2022-09-01,Philippines,-0.05
2022-10-01,Philippines,-0.25
2022-11-01,Philippines,-0.54
2022-12-01,Philippines,-0.6
2023-01-01,Philippines,-0.37
2023-02-01,Philippines,-0.1
2023-03-01,Philippines,-0.08
2023-04-01,Philippines,-0.34
2023-05-01,Philippines,-0.59
2023-06-01,Philippines,-0.56
2023-07-01,Philippines,-0.28
2023-08-01,Philippines,-0.06
2023-09-01,Philippines,-0.14
2023-10-01,Philippines,-0.43
2023-11-01,Philippines,-0.62
2023-12-01,Philippines,-0.5
2024-01-01,Philippines,-0.2
2024-02-01,Philippines,-0.05
2024-03-01,Philippines,-0.21
2024-04-01,Philippines,-0.51
2024-05-01,Philippines,-0.61
2024-06-01,Philippines,-0.42
2024-07-01,Philippines,-0.13
2024-08-01,Philippines,-0.06
2024-09-01,Philippines,-0.3
2024-10-01,Philippines,-0.57
2024-11-01,Philippines,-0.58
2024-12-01,Philippines,-0.33
2025-01-01,Philippines,-0.08
2025-02-01,Philippines,-0.11
2025-03-01,Philippines,-0.39
2025-04-01,Philippines,-0.61
2025-05-01,Philippines,-0.53
2025-06-01,Philippines,-0.24
2025-07-01,Philippines,-0.05
2025-08-01,Philippines,-0.17
2025-09-01,Philippines,-0.47
2025-10-01,Philippines,-0.62
2025-11-01,Philippines,-0.45
2025-12-01,Philippines,-0.16
2026-01-01,Philippines,-0.05
2026-02-01,Philippines,-0.25
2026-03-01,Philippines,-0.54
2026-04-01,Philippines,-0.6
2026-05-01,Philippines,-0.37
2026-06-01,Philippines,-0.1
2026-07-01,Philippines,-0.08
2026-08-01,Philippines,-0.34
2021-01-01,Russia,-4.62
2021-02-01,Russia,-1.43
2021-03-01,Russia,-0.68
2021-04-01,Russia,-3.2
2021-05-01,Russia,-6.22
2021-06-01,Russia,-6.45
2021-07-01,Russia,-3.64
2021-08-01,Russia,-0.85
2021-09-01,Russia,-1.14
2021-10-01,Russia,-4.19
2021-11-01,Russia,-6.67
2021-12-01,Russia,-5.86
2022-01-01,Russia,-2.66
2022-02-01,Russia,-0.56
2022-03-01,Russia,-1.85
2022-04-01,Russia,-5.13
2022-05-01,Russia,-6.81
2022-06-01,Russia,-5.05
2022-07-01,Russia,-1.78
2022-08-01,Russia,-0.57
2022-09-01,Russia,-2.74
2022-10-01,Russia,-5.92
2022-11-01,Russia,-6.64
2022-12-01,Russia,-4.11
2023-01-01,Russia,-1.09
2023-02-01,Russia,-0.89
2023-03-01,Russia,-3.72
2023-04-01,Russia,-6.49
2023-05-01,Russia,-6.17
2023-06-01,Russia,-3.12
2023-07-01,Russia,-0.66
2023-08-01,Russia,-1.49
2023-09-01,Russia,-4.7
2023-10-01,Russia,-6.78
2023-11-01,Russia,-5.46
2023-12-01,Russia,-2.18
2024-01-01,Russia,-0.52
2024-02-01,Russia,-2.3
2024-03-01,Russia,-5.57
2024-04-01,Russia,-6.76
2024-05-01,Russia,-4.57
2024-06-01,Russia,-1.39
2024-07-01,Russia,-0.7
2024-08-01,Russia,-3.25
2024-09-01,Russia,-6.26
2024-10-01,Russia,-6.43
2024-11-01,Russia,-3.58
2024-12-01,Russia,-0.83
2025-01-01,Russia,-1.18
2025-02-01,Russia,-4.24
2025-03-01,Russia,-6.68
2025-04-01,Russia,-5.82
2025-05-01,Russia,-2.61
2025-06-01,Russia,-0.55
2025-07-01,Russia,-1.9
2025-08-01,Russia,-5.18
2025-09-01,Russia,-6.81
2025-10-01,Russia,-5.0
2025-11-01,Russia,-1.74
2025-12-01,Russia,-0.58
2026-01-01,Russia,-2.79
2026-02-01,Russia,-5.96
2026-03-01,Russia,-6.62
2026-04-01,Russia,-4.05
2026-05-01,Russia,-1.06
2026-06-01,Russia,-0.92
2026-07-01,Russia,-3.78
2026-08-01,Russia,-6.52
